target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
MSTRG.12144	6.522906	7.18489	7.0653328	5.1145411	3.37237	3.7175952	11.979605	8.398792	11.888022	11.377021	15.682718	10.532912	16.011799	4.4571566	4.190175
MSTRG.13138	1.6254536	1.48873904	1.5818842	2.0896022	1.26641346	2.133065	4.1092219	8.7345142	10.387345	17.589136	14.981759	8.4379846	7.6429972	7.533686	7.18457169
MSTRG.4019	12.7873	10.605719	11.955079	6.052425	4.631514	4.628397	3.063073	3.663838	7.1796764	10.722989	5.275321	3.2244124	7.275462	16.999785	17.53964
MSTRG.1364	1.73183	1.53308	1.26503	7.85194	8.57158	7.11841	11.7877	15.6613	5.74234	7.17497	5.0555	6.64119	7.40133	86.3538	84.0849
MSTRG.20118	7.82251	9.12407	8.40982	6.11024	7.16227	7.16975	16.9446	8.70285	2.16616	7.04304	5.2699	8.15396	21.5755	0.299201	0.564571
MSTRG.6478	0.62657	1.027919	0.86671607	5.52158	4.17485	5.83511	16.870089	11.079737	12.75698	14.005841	9.10786	13.85006	15.180263	7.16835	6.000385
MSTRG.10593	4.87981	7.02172	10.161	3.21048	3.24016	4.33034	12.0673	15.0863	8.57208	12.7787	14.1306	4.59117	6.90558	7.16825	8.14045
MSTRG.12013	7.67555	8.97285	7.49385	2.44885	2.17908	3.29599	4.71942	6.95078	15.7659	8.39298	11.1827	7.165	8.77872	5.49687	5.36234
MSTRG.17900	7.185228	7.889314	9.602817	4.81777	3.795753	4.97678	3.43203	3.55493	6.95906	7.96913	8.71687	5.97956	7.16182	10.35396	8.65119
MSTRG.10961	2.758094	1.90997081	2.50675	7.026275	5.741524	7.15884757	6.3071522	5.5787048	21.325808	15.21043624	23.3336026	7.990447801	8.0035189	9.60083774	8.32436863
MSTRG.4548	5.0439311	4.6936248	5.134197	6.356808	4.5568379	7.868431	5.294313	7.1583696	12.273728	13.2226122	20.840667	10.736016	5.4970104	9.110672	9.144097
MSTRG.11751	1.419992	1.373930001	1.6180925	3.8908117	3.446769	4.739905034	7.15419822	6.18172508	37.81619094	21.994283	36.627275	9.00931	9.731132329	14.14434636	16.2125712
MSTRG.280	13.52945365	11.85227948	11.8954995	8.05813838	6.04369776	7.154028504	5.74285979	18.374238	15.20435387	5.315529428	5.98313297	13.6124036	4.3677745	0.09956704	0.118457334
MSTRG.21351	5.729071	7.10837	6.74623	8.237281	5.622239	7.14943	6.66082	10.3229412	15.23179	13.44079	16.49485	10.55158	11.43444	5.29028	6.01504
MSTRG.20982	0.116987123	0.153234231	0.122821787	2.585828	1.5338561	2.002358	7.5411232	7.395383	4.192343	10.865491	8.234409237	7.143016001	14.2744777	24.7440794	25.6369923
MSTRG.1431	6.04971	7.14065	8.48932	40.5506	10.0337	9.12715	20.2183	68.1748	19.435	0.432995	2.03315	0.520983	4.56928	3.59451	4.70025
MSTRG.14811	1.32013	1.15697	1.00115	5.15677	5.08551	6.9841	6.06912	10.6516	9.13775	12.5882	7.887	9.7361	7.13992	11.5945	12.5417
MSTRG.9973	6.72338	8.60855	3.34061	12.2143	7.1384	7.6489	0	5.37435	8.7828	18.0807	14.7506	9.92959	6.427	0	0.953232
